Brand Name, Product Name
GIGABYTE, GIGABYTE A520M S2H mATX AM4 4+3 Phases Digital PWM~ GIGABYTE Gaming GbE LAN~ NVMe PCIe 3.0 x4 M.2~ 3 Display Interfaces~ Q-Flash Plus~ RGB Fusion 2.0~ Motherboard
ZOTAC, ZOTAC GAMING GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card~ Super Compact~ ZT-T16600K-10M
ASRock, ASRock Radeon RX 6800 XT Phantom Gaming D Gaming Graphics Card with 16GB GDDR6~ AMD RDNA 2 (RX6800XT PGD 16GO)
ASRock, ASRock Radeon RX 6900 XT PHANTOM GAMING D Graphics Card 16GB GDDR6~ AMD RDNA2 (RX6900XT PGD 16GO)
XFX, XFX SPEEDSTER QICK308 RADEON RX 6600 XT BLACK Gaming Graphics Card with 8GB GDDR6 HDMI 3xDP~ AMD RDNA 2 (RX-66XT8LBDQ)
RUTVEING, 4GB HD6700 128Bit GDDR5 PCI-E~ AMD Graphics Chip Gaming Graphics Card Support VGA HDMI DVI~ Entry-level Graphics Card
GIGABYTE, GIGABYTE Radeon RX 6700 XT GAMING OC 12G Graphics Card~ WINDFORCE 3X Cooling System~ 12GB 192-bit GDDR6~ GV-R67XTGAMING OC-12GD Video Card
ZOTAC, ZOTAC GAMING GeForce GTX 1650 OC 4GB GDDR6 128-bit Gaming Graphics Card~ Super Compact~ ZT-T16520F-10L
ASUS, ASUS Phoenix NVIDIA GeForce RTX 3060 V2 Gaming Graphics Card (PCIe 4.0~ 12GB GDDR6~ HDMI 2.1~ DisplayPort 1.4a~ Axial-tech Fan Design~ Protective Backplate~ Dual Ball Fan Bearings~ Auto-Extreme)
ASUS, ASUS ROG Strix NVIDIA GeForce RTX 3080 Ti OC Edition Gaming Graphics Card (PCIe 4.0~ 12GB GDDR6X~ HDMI 2.1~ Axial-tech Fan Design~ 2.9-Slot~ Super Alloy Power II~ ASUS Auto-Extreme Technology)
yeston, Yeston Radeon RX560D 4GB GDDR5 PCI Express 3.0 DirectX12 DP+HDMI compatible +DVI-D video gaming graphics card external graphics card for desktop
XFX, XFX SPEEDSTER QICK319 AMD Radeon RX 6700 XT BLACK Gaming Graphics Card with 12GB GDDR6~ HDMI 3 x DP~ AMD RDNA 2
ASUS, ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO)
ZOTAC, ZOTAC GAMING GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card~ IceStorm 2.0 Cooling~ Active Fan Control~ FREEZE Fan Stop ZT-A30600H-10M
ASUS, ASUS Dual Radeon RX 6700 XT OC Edition 12GB GDDR6 Gaming Graphics Card (AMD RDNA 2~ PCIe 4.0~ 12GB GDDR6~ HDMI 2.1~ DisplayPort 1.4a~ Axial-tech Fan Design~ 0dB Technology) DUAL-RX6700XT-O12G
GIGABYTE, GIGABYTE Radeon RX 6800 XT GAMING OC 16G Graphics Card~ WINDFORCE 3X Cooling System~ 16GB 256-bit GDDR6~ GV-R68XTGAMING OC-16GD Video Card~ Powered by AMD RDNA 2~ HDMI 2.1
ASUS, ASUS DUAL Radeon RX 6700 XT Standard Edition 12GB GDDR6 Gaming Graphics Card (AMD RDNA 2~ PCIe 4.0~ 12GB GDDR6 Memory~ HDMI 2.1~ DisplayPort 1.4a~ Axial-tech Fan Design~ 0dB Technology)
GIGABYTE, GIGABYTE Radeon RX 6600 EAGLE 8G Graphics Card~ WINDFORCE 3X Cooling System~ 8GB 128-bit GDDR6~ GV-R66EAGLE-8GD Video Card
ASUS, ASUS TUF Gaming Radeon RX 6700 XT OC Edition Graphics Card (AMD RDNA 2~ PCIe 4.0~ 12GB GDDR6~ HDMI 2.1~ DisplayPort 1.4a~ Dual Ball Fan Bearings~ All-aluminum Shroud~ Reinforced Frame~ GPU Tweak II)
MSI, MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti VENTUS 2X 8G OCV1 LHR
MSI, ElSA GeForce GT 1030 2GB Phoenix Fan OC Edition HDMI DVI Graphics Card~ 1227/6000MHz Graphics Card frequency~ GDDR5 Video Memory
GIGABYTE, GIGABYTE AORUS Radeon RX 6700 XT ELITE 12G Graphics Card~ WINDFORCE 3X Cooling System~ 12GB 192-bit GDDR6~ GV-R67XTAORUS E-12GD Video Card
DELL, New Genuine Dell ATI Radeon X1300 128MB PCI-E x16 DVI Video Graphics Card HJ513 0HJ513
NVIDIA, NVIDIA GeForce GF FX 5500 FX5500 256 MB PCI Desktop Video Graphics Card Vga
MSI, MSI Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti Gaming X 8G LHR
GIGABYTE, Gigabyte GeForce GT 710 1GB Graphic Cards and Support PCI Express 2.0 X8 Bus Interface. Graphic Cards GV-N710D5-1GL REV2.0
GIGABYTE, GIGABYTE Radeon RX 6800 GAMING OC 16G Graphics Card~ WINDFORCE 3X Cooling System~ 16GB 256-bit GDDR6~ GV-R68GAMING OC-16GD Video Card~ Powered by AMD RDNA 2~ HDMI 2.1
ZOTAC, ZOTAC GAMING GeForce RTX 3070 Ti Trinity OC 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card~ IceStorm 2.0 Advanced Cooling~ SPECTRA 2.0 RGB Lighting~ ZT-A30710J-10P
XFX, XFX SPEEDSTER MERC319 AMD Radeon RX 6700 XT BLACK Gaming Graphics Card with 12GB GDDR6 HDMI 3xDP~ AMD RDNA 2 (RX-67XTYTBDP)
XFX, XFX Speedster ZERO AMD Radeon RX 6900 XT EKWB RGB Waterblock Limited Edition RGB Gaming Graphics Card with 16GB GDDR6~ AMD RDNA 2 - RX-69XTAWBD9
ASUS, ASUS NVIDIA GeForce GT 710 Graphics Card (PCIe 2.0~ 2GB GDDR5 Memory~ 4 x HDMI Ports~ Single-slot Design~ Passive Cooling)
ZOTAC, ZOTAC GAMING GeForce RTX 3090 Trinity OC 24GB GDDR6X 384-bit 19.5 Gbps PCIE 4.0 Gaming Graphics Card~ IceStorm 2.0 Advanced Cooling~ SPECTRA 2.0 RGB Lighting~ ZT-A30900J-10P
ASUS, ASUS GeForce GT 1030 2GB Phoenix Fan OC Edition HDMI DVI Graphics Card (PH-GT1030-O2G)
ASUS, ZOTAC GAMING GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card~ IceStorm 2.0 Cooling~ Active Fan Control~ FREEZE Fan Stop ZT-A30600H-10M
Sapphire Tech, Sapphire NITRO+ AMD RADEON RX 6900 XT SE GAMING OC Graphics Card With 16GB GDDR6 HDMI / TRIPLE DP
GIGABYTE, GIGABYTE GeForce RTX 3060 GAMING OC 12G Graphics Card~ 3 x WINDFORCE Fans~ 12GB 192-bit GDDR6~ GV-N3060GAMING OC-12GD Video Card
